brand_name,brand_slug,era,search_query,ebay_url,amazon_url
"Nike","nike","2000s","vintage 2000s Nike clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%202000s%20Nike%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%202000s%20Nike%20clothing&i=fashion"
"Nike","nike","2010s","vintage 2010s Nike clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%202010s%20Nike%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%202010s%20Nike%20clothing&i=fashion"
"Nike","nike","Modern (2020s)","Nike clothing","https://www.ebay.com/sch/i.html?_nkw=Nike%20clothing&_sacat=11450","https://www.amazon.com/s?k=Nike%20clothing&i=fashion"
"Nike","nike","Pre-1920s","vintage Pre-1920s Nike clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%20Pre-1920s%20Nike%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%20Pre-1920s%20Nike%20clothing&i=fashion"
"No Boundaries","no-boundaries","1920s","vintage 1920s No Boundaries clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201920s%20No%20Boundaries%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201920s%20No%20Boundaries%20clothing&i=fashion"
"No Boundaries","no-boundaries","1930s","vintage 1930s No Boundaries clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201930s%20No%20Boundaries%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201930s%20No%20Boundaries%20clothing&i=fashion"
"No Boundaries","no-boundaries","1940s","vintage 1940s No Boundaries clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201940s%20No%20Boundaries%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201940s%20No%20Boundaries%20clothing&i=fashion"
"No Boundaries","no-boundaries","1950s","vintage 1950s No Boundaries clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201950s%20No%20Boundaries%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201950s%20No%20Boundaries%20clothing&i=fashion"
"No Boundaries","no-boundaries","1960s","vintage 1960s No Boundaries clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201960s%20No%20Boundaries%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201960s%20No%20Boundaries%20clothing&i=fashion"
"No Boundaries","no-boundaries","1970s","vintage 1970s No Boundaries clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201970s%20No%20Boundaries%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201970s%20No%20Boundaries%20clothing&i=fashion"
"No Boundaries","no-boundaries","1980s","vintage 1980s No Boundaries clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201980s%20No%20Boundaries%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201980s%20No%20Boundaries%20clothing&i=fashion"
"No Boundaries","no-boundaries","1990s","vintage 1990s No Boundaries clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201990s%20No%20Boundaries%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201990s%20No%20Boundaries%20clothing&i=fashion"
"No Boundaries","no-boundaries","2000s","vintage 2000s No Boundaries clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%202000s%20No%20Boundaries%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%202000s%20No%20Boundaries%20clothing&i=fashion"
"No Boundaries","no-boundaries","2010s","vintage 2010s No Boundaries clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%202010s%20No%20Boundaries%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%202010s%20No%20Boundaries%20clothing&i=fashion"
"No Boundaries","no-boundaries","Modern (2020s)","No Boundaries clothing","https://www.ebay.com/sch/i.html?_nkw=No%20Boundaries%20clothing&_sacat=11450","https://www.amazon.com/s?k=No%20Boundaries%20clothing&i=fashion"
"No Boundaries","no-boundaries","Pre-1920s","vintage Pre-1920s No Boundaries clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%20Pre-1920s%20No%20Boundaries%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%20Pre-1920s%20No%20Boundaries%20clothing&i=fashion"
"Nutmeg","nutmeg","1920s","vintage 1920s Nutmeg clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201920s%20Nutmeg%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201920s%20Nutmeg%20clothing&i=fashion"
"Nutmeg","nutmeg","1930s","vintage 1930s Nutmeg clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201930s%20Nutmeg%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201930s%20Nutmeg%20clothing&i=fashion"
"Nutmeg","nutmeg","1940s","vintage 1940s Nutmeg clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201940s%20Nutmeg%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201940s%20Nutmeg%20clothing&i=fashion"
"Nutmeg","nutmeg","1950s","vintage 1950s Nutmeg clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201950s%20Nutmeg%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201950s%20Nutmeg%20clothing&i=fashion"
"Nutmeg","nutmeg","1960s","vintage 1960s Nutmeg clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201960s%20Nutmeg%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201960s%20Nutmeg%20clothing&i=fashion"
"Nutmeg","nutmeg","1970s","vintage 1970s Nutmeg clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201970s%20Nutmeg%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201970s%20Nutmeg%20clothing&i=fashion"
"Nutmeg","nutmeg","1980s","vintage 1980s Nutmeg clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201980s%20Nutmeg%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201980s%20Nutmeg%20clothing&i=fashion"
"Nutmeg","nutmeg","1990s","vintage 1990s Nutmeg clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201990s%20Nutmeg%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201990s%20Nutmeg%20clothing&i=fashion"
"Nutmeg","nutmeg","2000s","vintage 2000s Nutmeg clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%202000s%20Nutmeg%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%202000s%20Nutmeg%20clothing&i=fashion"
"Nutmeg","nutmeg","2010s","vintage 2010s Nutmeg clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%202010s%20Nutmeg%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%202010s%20Nutmeg%20clothing&i=fashion"
"Nutmeg","nutmeg","Modern (2020s)","Nutmeg clothing","https://www.ebay.com/sch/i.html?_nkw=Nutmeg%20clothing&_sacat=11450","https://www.amazon.com/s?k=Nutmeg%20clothing&i=fashion"
"Nutmeg","nutmeg","Pre-1920s","vintage Pre-1920s Nutmeg clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%20Pre-1920s%20Nutmeg%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%20Pre-1920s%20Nutmeg%20clothing&i=fashion"
"O'Neill","o-neill","1920s","vintage 1920s O'Neill clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201920s%20O'Neill%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201920s%20O'Neill%20clothing&i=fashion"
"O'Neill","o-neill","1930s","vintage 1930s O'Neill clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201930s%20O'Neill%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201930s%20O'Neill%20clothing&i=fashion"
"O'Neill","o-neill","1940s","vintage 1940s O'Neill clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201940s%20O'Neill%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201940s%20O'Neill%20clothing&i=fashion"
"O'Neill","o-neill","1950s","vintage 1950s O'Neill clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201950s%20O'Neill%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201950s%20O'Neill%20clothing&i=fashion"
"O'Neill","o-neill","1960s","vintage 1960s O'Neill clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201960s%20O'Neill%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201960s%20O'Neill%20clothing&i=fashion"
"O'Neill","o-neill","1970s","vintage 1970s O'Neill clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201970s%20O'Neill%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201970s%20O'Neill%20clothing&i=fashion"
"O'Neill","o-neill","1980s","vintage 1980s O'Neill clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201980s%20O'Neill%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201980s%20O'Neill%20clothing&i=fashion"
"O'Neill","o-neill","1990s","vintage 1990s O'Neill clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201990s%20O'Neill%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201990s%20O'Neill%20clothing&i=fashion"
"O'Neill","o-neill","2000s","vintage 2000s O'Neill clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%202000s%20O'Neill%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%202000s%20O'Neill%20clothing&i=fashion"
"O'Neill","o-neill","2010s","vintage 2010s O'Neill clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%202010s%20O'Neill%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%202010s%20O'Neill%20clothing&i=fashion"
"O'Neill","o-neill","Modern (2020s)","O'Neill clothing","https://www.ebay.com/sch/i.html?_nkw=O'Neill%20clothing&_sacat=11450","https://www.amazon.com/s?k=O'Neill%20clothing&i=fashion"
"O'Neill","o-neill","Pre-1920s","vintage Pre-1920s O'Neill clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%20Pre-1920s%20O'Neill%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%20Pre-1920s%20O'Neill%20clothing&i=fashion"
"Ocean Pacific (OP)","ocean-pacific-op","1920s","vintage 1920s Ocean Pacific (OP) clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201920s%20Ocean%20Pacific%20(OP)%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201920s%20Ocean%20Pacific%20(OP)%20clothing&i=fashion"
"Ocean Pacific (OP)","ocean-pacific-op","1930s","vintage 1930s Ocean Pacific (OP) clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201930s%20Ocean%20Pacific%20(OP)%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201930s%20Ocean%20Pacific%20(OP)%20clothing&i=fashion"
"Ocean Pacific (OP)","ocean-pacific-op","1940s","vintage 1940s Ocean Pacific (OP) clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201940s%20Ocean%20Pacific%20(OP)%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201940s%20Ocean%20Pacific%20(OP)%20clothing&i=fashion"
"Ocean Pacific (OP)","ocean-pacific-op","1950s","vintage 1950s Ocean Pacific (OP) clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201950s%20Ocean%20Pacific%20(OP)%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201950s%20Ocean%20Pacific%20(OP)%20clothing&i=fashion"
"Ocean Pacific (OP)","ocean-pacific-op","1960s","vintage 1960s Ocean Pacific (OP) clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201960s%20Ocean%20Pacific%20(OP)%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201960s%20Ocean%20Pacific%20(OP)%20clothing&i=fashion"
"Ocean Pacific (OP)","ocean-pacific-op","1970s","vintage 1970s Ocean Pacific (OP) clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201970s%20Ocean%20Pacific%20(OP)%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201970s%20Ocean%20Pacific%20(OP)%20clothing&i=fashion"
