brand_name,brand_slug,era,search_query,ebay_url,amazon_url
"Abercrombie & Fitch","abercrombie-fitch","1920s","vintage 1920s Abercrombie & Fitch clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201920s%20Abercrombie%20%26%20Fitch%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201920s%20Abercrombie%20%26%20Fitch%20clothing&i=fashion"
"Abercrombie & Fitch","abercrombie-fitch","1930s","vintage 1930s Abercrombie & Fitch clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201930s%20Abercrombie%20%26%20Fitch%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201930s%20Abercrombie%20%26%20Fitch%20clothing&i=fashion"
"Abercrombie & Fitch","abercrombie-fitch","1940s","vintage 1940s Abercrombie & Fitch clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201940s%20Abercrombie%20%26%20Fitch%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201940s%20Abercrombie%20%26%20Fitch%20clothing&i=fashion"
"Abercrombie & Fitch","abercrombie-fitch","1950s","vintage 1950s Abercrombie & Fitch clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201950s%20Abercrombie%20%26%20Fitch%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201950s%20Abercrombie%20%26%20Fitch%20clothing&i=fashion"
"Abercrombie & Fitch","abercrombie-fitch","1960s","vintage 1960s Abercrombie & Fitch clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201960s%20Abercrombie%20%26%20Fitch%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201960s%20Abercrombie%20%26%20Fitch%20clothing&i=fashion"
"Abercrombie & Fitch","abercrombie-fitch","1970s","vintage 1970s Abercrombie & Fitch clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201970s%20Abercrombie%20%26%20Fitch%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201970s%20Abercrombie%20%26%20Fitch%20clothing&i=fashion"
"Abercrombie & Fitch","abercrombie-fitch","1980s","vintage 1980s Abercrombie & Fitch clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201980s%20Abercrombie%20%26%20Fitch%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201980s%20Abercrombie%20%26%20Fitch%20clothing&i=fashion"
"Abercrombie & Fitch","abercrombie-fitch","1990s","vintage 1990s Abercrombie & Fitch clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%201990s%20Abercrombie%20%26%20Fitch%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%201990s%20Abercrombie%20%26%20Fitch%20clothing&i=fashion"
"Abercrombie & Fitch","abercrombie-fitch","2000s","vintage 2000s Abercrombie & Fitch clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%202000s%20Abercrombie%20%26%20Fitch%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%202000s%20Abercrombie%20%26%20Fitch%20clothing&i=fashion"
"Abercrombie & Fitch","abercrombie-fitch","2010s","vintage 2010s Abercrombie & Fitch clothing","https://www.ebay.com/sch/i.html?_nkw=vintage%202010s%20Abercrombie%20%26%20Fitch%20clothing&_sacat=11450","https://www.amazon.com/s?k=vintage%202010s%20Abercrombie%20%26%20Fitch%20clothing&i=fashion"
